Year,JAN,FEB,Winter,MAR,APR,MAY,PreMonsoon,JUN,JUL,AUG,SEP,Monsoon,OCT,NOV,DEC,PostMonsoon
1981,18.94,22.07,20.505,26.57,29.02,29.11,28.23333333,29.23,28.33,28.19,27.71,28.365,25.58,21.08,17.98,21.54666667
1982,19.85,21.89,20.87,25.64,30.22,31.65,29.17,29.43,29.12,27.83,27.82,28.55,26.3,22.37,19.51,22.72666667
1983,20.24,23.13,21.685,28.23,31.83,31.13,30.39666667,30.8,30.11,28.63,27.89,29.3575,25.76,23.58,19.78,23.04
1984,20,22.91,21.455,28.6,31.79,30.81,30.4,28.87,28.12,27.94,26.94,27.9675,25.98,20.35,18.55,21.62666667
1985,20.59,22.62,21.605,29.2,32.45,31.44,31.03,30.79,28.15,28.37,27.33,28.66,25.2,21.16,19.35,21.90333333
1986,18.61,23.73,21.17,29.01,31.73,31.01,30.58333333,30.35,28.26,28.41,27.42,28.61,24.84,22.06,18.64,21.84666667
1987,17.62,22.58,20.1,27.79,31.08,31.1,29.99,30.58,29.15,28.24,27.92,28.9725,25.97,21.89,19.19,22.35
1988,19.73,23.8,21.765,28.01,31.39,31.5,30.3,29.8,28.41,28.32,27.83,28.59,25.36,22.07,19.9,22.44333333
1989,17.58,23.01,20.295,28.14,32.02,31.71,30.62333333,29.4,28.44,27.82,27.62,28.32,26.18,21.76,18.66,22.2
1990,19.69,24.07,21.88,26.22,29.97,30.54,28.91,29.48,28.05,28.02,27.51,28.265,24.88,22.18,18.23,21.76333333
1991,18.39,24.46,21.425,29.99,32.57,32.98,31.84666667,29.41,28.48,28.33,27.58,28.45,25.37,20.3,18.15,21.27333333
1992,17.74,21.83,19.785,28.04,33.05,31.16,30.75,29.58,28.16,27.81,27.36,28.2275,25.91,22.53,19.07,22.50333333
1993,19.74,23.87,21.805,27.43,30.51,31.06,29.66666667,29.69,28.58,28.19,27.11,28.3925,25.75,21.58,17.05,21.46
1994,18.86,21.54,20.2,28.3,31.04,32.28,30.54,29.42,28.14,27.94,27.08,28.145,25.6,21.8,17.92,21.77333333
1995,18.29,23.15,20.72,28.03,32.94,30.62,30.53,29.23,28.12,27.87,27.48,28.175,25.55,21.27,17.54,21.45333333
1996,18.31,21.82,20.065,28.77,31.71,32.98,31.15333333,30.01,28.66,27.65,27.64,28.49,25.12,20.9,17.2,21.07333333
1997,18.59,22.3,20.445,28.69,28.19,31.65,29.51,30.05,28.3,28.01,27.25,28.4025,25.58,23.18,18.27,22.34333333
1998,17.75,22.26,20.005,25.15,29.92,32.23,29.1,30.69,28.98,28.26,27.63,28.89,26.94,22.77,17.19,22.3
1999,16.65,22.96,19.805,28.31,32.33,31.41,30.68333333,29.6,28.26,27.84,27.18,28.22,25.85,20.85,18.15,21.61666667
2000,17.67,21.37,19.52,27.06,30.9,29.5,29.15333333,28.73,28.33,28.09,27.37,28.13,26.23,22.78,17.19,22.06666667
2001,16.73,23.1,19.915,28.12,31.45,31.01,30.19333333,28.3,28.13,28.18,27.65,28.065,26.35,23.01,16.8,22.05333333
2002,18.25,21.71,19.98,27.82,31.08,32.85,30.58333333,29.26,28.7,27.86,27.29,28.2775,25.43,21.37,18.01,21.60333333
2003,16.11,23.23,19.67,26.23,31.51,32.75,30.16333333,30.36,28.54,28.48,27.75,28.7825,26.53,21.25,17.31,21.69666667
